TRADE:
Column_name	Type	Computed	Length	Prec	Scale	Nullable	TrimTrailingBlanks	FixedLenNullInSource	Collation
UNDTRIBU	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
UPAC	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
VALORPLAN	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
VIGENTE	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
VIPCONSU	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
VLRETFTE	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
VRECICA	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
VRETENIVA	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
VRETICA	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
VRETIVA	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
VRETIVASIM	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
VRTEFTEA	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
XBASEIVA	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
XBRUTO	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
XCONIVA	numeric	no	9	15   	2    	yes	(n/a)	(n/a)	NULL
XDESCUENTO	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
XFLETES	numeric	no	9	15   	2    	yes	(n/a)	(n/a)	NULL
XIVABRUTO	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
XRECICA	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
XRETENIVA	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
XRETICA	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
XRETIVA	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
XRETIVASIM	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
XSINIVA	numeric	no	9	15   	2    	yes	(n/a)	(n/a)	NULL
XVLRETFTE	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
XVRTEFTEA	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
ZBASEIVA	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
ZBRUTO	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
ZCONIVA	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
ZDESCUENTO	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
ZFLETES	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
ZIVABRUTO	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
ZRECICA	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
ZRETENIVA	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
ZRETICA	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
ZRETIVA	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
ZRETIVASIM	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
ZSINIVA	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
ZVLRETFTE	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
ZVRTEFTEA	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
PEDGUID	uniqueidentifier	no	16	     	     	yes	(n/a)	(n/a)	NULL
FECHAPANTE	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
FISCAL	char	no	11	     	     	yes	no	yes	Modern_Spanish_CI_AS
NROCMPIVA	char	no	14	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIPOTRAN	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
APORTE1	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
APORTE2	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
APORTE3	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
AUTORIZPOR	char	no	250	     	     	yes	no	yes	Modern_Spanish_CI_AS
AUTRETICA	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
COMENTARIO	text	no	16	     	     	no	(n/a)	(n/a)	Modern_Spanish_CI_AS
FISRL	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
FIVA	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
FLLAMADA	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
FRECAUDO	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
IDADJUNTOS	char	no	50	     	     	yes	no	yes	Modern_Spanish_CI_AS
MOTIVOTRAS	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
NROCMPISLR	char	no	14	     	     	yes	no	yes	Modern_Spanish_CI_AS
PLACA	char	no	15	     	     	yes	no	yes	Modern_Spanish_CI_AS
PLANILLA	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
PLANPED	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
RESPONSA	char	no	250	     	     	yes	no	yes	Modern_Spanish_CI_AS
VLRECAUDO	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
VRETICAA	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
VRSEGURIDA	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
XVRETICAA	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
ZVRETICAA	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
ABONO	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
CAJAREG	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
CONSFECHA	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
CONSNUMERO	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
GENELECT	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
NRODCTOAN	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
PRETPERC	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
PRETPERP	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
TIPOABONO	char	no	2	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIPODCTOAN	char	no	2	     	     	yes	no	yes	Modern_Spanish_CI_AS
VDETRACCIO	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
VPERCEPCIO	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
PRETECREE	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
VLRETCREE	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
VLRETCREEA	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
OTROIMPU	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
XVLRETCREE	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
XVRETCREEA	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
ZVLRETCREE	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
ZVRETCREEA	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
INTNIIF	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
MECADORIG	text	no	16	     	     	yes	(n/a)	(n/a)	Modern_Spanish_CI_AS
MECANCELA	text	no	16	     	     	yes	(n/a)	(n/a)	Modern_Spanish_CI_AS
MEFALLO	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
MEFECHAT	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
MENOCERSAT	char	no	30	     	     	yes	no	yes	Modern_Spanish_CI_AS
MESELLOCFD	text	no	16	     	     	yes	(n/a)	(n/a)	Modern_Spanish_CI_AS
MESELLOSAT	text	no	16	     	     	yes	(n/a)	(n/a)	Modern_Spanish_CI_AS
MEUUID	char	no	50	     	     	yes	no	yes	Modern_Spanish_CI_AS
MEVERSION	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
MEXML	text	no	16	     	     	yes	(n/a)	(n/a)	Modern_Spanish_CI_AS
DESCFINANC	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
DETERIORO	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
FECHANIF	datetime	no	8	     	     	no	(n/a)	(n/a)	NULL
IDINTEGRA	char	no	40	     	     	yes	no	yes	Modern_Spanish_CI_AS
NOCORRIENT	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
TASAINTERE	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
VALCONSUMO	numeric	no	13	20   	7    	yes	(n/a)	(n/a)	NULL
VLRECONOCE	numeric	no	9	17   	2    	no	(n/a)	(n/a)	NULL
XDESFINANC	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
ZDESFINANC	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
INDEPENDIE	bit	no	1	     	     	no	(n/a)	(n/a)	NULL
IVAINCLUDO	bit	no	1	     	     	no	(n/a)	(n/a)	NULL
VALORAYS	numeric	no	9	17   	2    	no	(n/a)	(n/a)	NULL
IMPCIGARRI	numeric	no	9	17   	2    	no	(n/a)	(n/a)	NULL
CODUSOCFDI	char	no	10	     	     	no	no	no	Modern_Spanish_CI_AS
CORRELATID	char	no	250	     	     	no	no	no	Modern_Spanish_CI_AS
DCTORELSAT	char	no	10	     	     	no	no	no	Modern_Spanish_CI_AS
MEUUIDAC	char	no	250	     	     	no	no	no	Modern_Spanish_CI_AS
MECANACUSE	text	no	16	     	     	no	(n/a)	(n/a)	Modern_Spanish_CI_AS

MVTRADE:
Column_name	Type	Computed	Length	Prec	Scale	Nullable	TrimTrailingBlanks	FixedLenNullInSource	Collation
BASE	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
BODEGA	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
CANTEMPAQ	numeric	no	13	20   	7    	yes	(n/a)	(n/a)	NULL
CANTIDAD	numeric	no	13	20   	7    	yes	(n/a)	(n/a)	NULL
CANTORIG	numeric	no	13	20   	7    	yes	(n/a)	(n/a)	NULL
CANTREMIS	numeric	no	13	20   	7    	yes	(n/a)	(n/a)	NULL
CANVENTA	numeric	no	13	20   	7    	yes	(n/a)	(n/a)	NULL
CARGOA	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODCC	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODIGOCTA	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODINT	numeric	no	5	4    	0    	yes	(n/a)	(n/a)	NULL
CODRETE	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODRETICA	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODTRAS	numeric	no	9	10   	0    	yes	(n/a)	(n/a)	NULL
CODUBICA	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
CONSECUT	numeric	no	9	10   	0    	yes	(n/a)	(n/a)	NULL
COSTEO	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
COSTO	numeric	no	13	20   	7    	yes	(n/a)	(n/a)	NULL
DESCFINAN	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
DESCUENTO	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
DETALLE	char	no	250	     	     	yes	no	yes	Modern_Spanish_CI_AS
DSCTOFINAN	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
FACTURADO	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
FECENT	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
FECHA	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
FECING	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
FECMOD	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
FHCOMPRA	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
HCOSTO	numeric	no	13	20   	7    	yes	(n/a)	(n/a)	NULL
HVALUNID	numeric	no	13	20   	7    	yes	(n/a)	(n/a)	NULL
IDMVTRADE	int	no	4	10   	0    	no	(n/a)	(n/a)	NULL
IDPEDORD	int	no	4	10   	0    	yes	(n/a)	(n/a)	NULL
IDREMIS	int	no	4	10   	0    	yes	(n/a)	(n/a)	NULL
IDREQORD	int	no	4	10   	0    	yes	(n/a)	(n/a)	NULL
IMPORTAC	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
INCIDENTE	char	no	1	     	     	yes	no	yes	Modern_Spanish_CI_AS
INTEGRADO	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
INTEGTALL	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
IVA	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
LOGIN	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
MVTOTRAS	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
NIT	char	no	15	     	     	yes	no	yes	Modern_Spanish_CI_AS
NOMBRE	char	no	250	     	     	yes	no	yes	Modern_Spanish_CI_AS
NORDEN	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
NOTA	char	no	250	     	     	yes	no	yes	Modern_Spanish_CI_AS
NOTAS	text	no	16	     	     	no	(n/a)	(n/a)	Modern_Spanish_CI_AS
NPEDIDO	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
NROBONO	numeric	no	9	12   	0    	yes	(n/a)	(n/a)	NULL
NRODCTO	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
NROFACTURA	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
NROORDEN	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
NROSOLI	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
NUMFACTNC	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
ORDENADO	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
ORDENNRO	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
ORDENPRV	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
ORIGEN	char	no	3	     	     	yes	no	yes	Modern_Spanish_CI_AS
PASATERORD	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
PASSWORDIN	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
PASSWORDMO	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
PESODOLAR	char	no	1	     	     	yes	no	yes	Modern_Spanish_CI_AS
PORETE	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
PORICA	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
PRETFTE	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
PRODUCTO	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
REMIFACT	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
SERFLETES	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
STADSINCRO	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
SUCURSAL	char	no	15	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIPODCTO	char	no	2	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIPODCTOFA	char	no	2	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIPODCTONC	char	no	2	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIPODCTOPC	char	no	2	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIPODCTORE	char	no	2	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIPODCTOSI	char	no	2	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIPODCTOTR	char	no	2	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIPOMVTO	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
TOPRETE	numeric	no	9	15   	2    	yes	(n/a)	(n/a)	NULL
TOPRETICA	numeric	no	9	15   	2    	yes	(n/a)	(n/a)	NULL
TRASLADO	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
UNDBASE	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
UNDVENTA	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
VALORUNIT	numeric	no	13	20   	7    	yes	(n/a)	(n/a)	NULL
VALUNID	numeric	no	13	20   	7    	yes	(n/a)	(n/a)	NULL
VENDEDOR	char	no	15	     	     	yes	no	yes	Modern_Spanish_CI_AS
VLRVENTA	numeric	no	13	20   	7    	yes	(n/a)	(n/a)	NULL
XCOSTO	numeric	no	13	20   	7    	yes	(n/a)	(n/a)	NULL
XVALORUN	numeric	no	13	20   	7    	yes	(n/a)	(n/a)	NULL
XVALUNID	numeric	no	13	20   	7    	yes	(n/a)	(n/a)	NULL
ZVALORUNIT	numeric	no	13	20   	7    	yes	(n/a)	(n/a)	NULL
IPCONSUMO	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
CTAVTA	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
NOTADOS	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
BASEIMPOR	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
BIVAIMPOR	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
PLANPED	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
CODDETRA	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
IDIMPUESTO	char	no	100	     	     	yes	no	yes	Modern_Spanish_CI_AS
